lambda_,prob_hubo_congestion_hora,se_prob_cong,n_prob,prob_congestion_por_detectado,se_cong_por_detect,n_cd,prob_mvd_por_detectado,se_mvd_por_detect,n_md,atraso_promedio_por_avion,se_atraso_por_avion,file
0.02,0.10037555555555555,0.0002239795419755875,1800000,0.09536210840294981,0.00019992267761355216,2158373.0,0.016143178218037384,8.578220817348182e-05,2158373.0,0.0,0.0,run_p=0.02_sim=100000.json
0.1,0.8518155555555555,0.00026481210830525757,1800000,0.4017670966929227,0.0001492059238723463,10796240.0,0.05255320370795759,6.791109745161803e-05,10796240.0,0.0,0.0,run_p=0.1_sim=100000.json
0.2,0.9974638888888889,3.74883630206552e-05,1800000,0.6463952472049216,0.00010285518855464185,21605476.0,0.1052965461163642,6.603355830811091e-05,21605476.0,0.0,0.0,run_p=0.2_sim=100000.json
0.5,1.0,0.0,1800000,0.9324094589265294,3.416399482199517e-05,53995218.0,0.3405823826843333,6.449316837074282e-05,53995218.0,0.0,0.0,run_p=0.5_sim=100000.json
1.0,1.0,0.0,1800000,0.9953703703703703,6.532111676543375e-06,108000000.0,0.575925925925926,4.755457427975376e-05,108000000.0,0.0,0.0,run_p=1_sim=100000.json
